id;publishing_date;expire_date;location;type;content
1;2020-09-17T14:07:22;2020-09-18T00:10:32;HOME_PAGE;NORMAL;Money Market Account withdrawal
2;2020-09-17T15:32:24;2020-09-17T17:43:13;HOME_PAGE;NORMAL;Wyoming connecting
3;2020-09-18T04:56:39;2020-09-17T21:37:24;HOME_PAGE;NORMAL;connecting Towels CSS
4;2020-09-18T02:10:28;2020-09-18T03:08:15;HOME_PAGE;NORMAL;high-level
5;2020-09-17T08:23:39;2020-09-17T20:17:29;HOME_PAGE;NORMAL;Engineer indigo Fresh
6;2020-09-17T13:54:37;2020-09-18T04:14:27;HOME_PAGE;NORMAL;Intelligent Concrete Ball
7;2020-09-17T08:51:04;2020-09-17T10:44:48;HOME_PAGE;NORMAL;evolve
8;2020-09-18T01:14:39;2020-09-18T05:06:23;HOME_PAGE;NORMAL;generate
9;2020-09-17T08:07:29;2020-09-17T16:06:50;HOME_PAGE;NORMAL;tertiary
10;2020-09-17T17:46:36;2020-09-17T20:17:05;HOME_PAGE;NORMAL;Implemented stable
