id;type;latest_version;url;log;status
1;OENO;quantifying;https://chloe.info;Chips;SUCCESS
2;COUNTRY;JSON Car Home;https://christa.org;Louisiana compress SAS;SUCCESS
3;COUNTRY;Licensed Rustic;http://adrianna.biz;ADP;IN_PROGRESS
4;OENO;Soap access bus;http://javier.biz;Chair;SUCCESS
5;PUPHA;Tuna;http://kurt.biz;content;IN_PROGRESS
6;OENO;e-business;http://bradley.biz;Tasty evolve Down-sized;IN_PROGRESS
7;PUPHA;hack array methodologies;http://brooks.org;Brand Movies optical;IN_PROGRESS
8;BNO;Shirt Generic quantifying;https://salvador.net;Aruban Guilder;ERROR
9;BNO;Berkshire synthesizing Handcrafted;http://nicholaus.name;functionalities mobile Holy See (Vatican City State);IN_PROGRESS
10;OENO;RAM efficient;http://neoma.name;USB applications;SUCCESS
