id;registration_number;workplace_name;workplace_id
1;Isle;Fantastic;connecting Personal 
2;payment Montserrat;backing up Rue;bypass withdrawal
3;Frozen;monitor teal Auto Loan Account;Handcrafted Executiv
4;content optical;Integrated;Research Small Corpo
5;enable;Steel Configuration Designer;system engine Austra
6;Wyoming invoice;card XML;Refined Fresh Towels
7;Handcrafted;Philippines;standardization tan 
8;China;District French Southern Territories;middleware next-gene
9;viral;platforms Grass-roots;HTTP
10;Central generating strategize;plum application;protocol
