id;code;report;descr;sex;age_min;age_max;validity_id
1;Handcrafte;true;matrix Benin parsing;FEMALE;74;3;1
2;Solutions ;true;program;MALE;79;0;2
3;Specialist;true;interface;BOTH;73;38;3
4;Pennsylvan;false;bypass;BOTH;41;24;4
5;1080p Rue;true;feed;MALE;8;89;5
6;tan progra;false;panel Handcrafted Rubber Chair;FEMALE;68;37;6
7;Supervisor;true;Bedfordshire Shoes;MALE;30;26;7
8;Jewelery;false;protocol Games Buckinghamshire;BOTH;51;14;8
9;Vista;true;cross-platform Designer;FEMALE;81;37;9
10;interfaces;false;Freeway;MALE;71;27;10
