id;dictionary_item_type;code;order_number;description
1;compressing;invoice;6426;Car
2;killer digital;moderator integrate neural;41786;frame standardization
3;Guam;Executive schemas;83469;Money Market Account override back-end
4;Branding Customer-focused;web services Licensed;5620;District directional
5;Cambridgeshire Indiana;Soft synthesizing;15486;networks Awesome copying
6;Exclusive Fantastic Lek;Ball Cheese Toys;51844;Dynamic
7;Computer;programming networks;36799;Computers reinvent Handcrafted
8;deposit secured line UAE Dirham;Lebanese Pound e-markets;56914;Specialist Internal
9;Tasty Steel Fish;instruction set;22967;well-modulated
10;plug-and-play killer New Jersey;solution-oriented Montserrat Electronics;83678;Soft
