id;create_date;author;type;content
1;2020-09-17T14:57:21;1080p;FEATURE;local area network Northern Mariana Islands
2;2020-09-18T05:40:09;circuit Chad out-of-the-box;FEATURE;capacitor
3;2020-09-18T01:55:36;Frozen utilisation hack;MISC;Isle of Man maximized
4;2020-09-17T08:34:37;XML;MISC;regional Rustic Wooden Ball grow
5;2020-09-18T06:17:50;Generic;MISC;Accounts grey Ergonomic
6;2020-09-17T10:19:34;Buckinghamshire mint green backing up;MISC;Georgia
7;2020-09-17T12:41:45;Officer;FEATURE;Czech Koruna Visionary
8;2020-09-17T15:30:17;Convertible Marks application;BUG;back-end
9;2020-09-17T21:47:10;incremental orchestration;BUG;Assurance sensor neural
10;2020-09-17T18:18:47;Frozen cross-platform;BUG;gold Orchestrator Islands
