id;code;name;gross_price;unit;statistical_code;tax_rate;praxis_id;provider_id
1;panel;deliver Tasty;36689;PIECE;Intelligent Soft Car;TX_27;1;1
2;Regional;Sausages black;17546;HOUR;empower Associate Fr;TX_27;2;2
3;Soft synthesizing Fe;sexy Associate Profound;67388;PIECE;system Small;TX_27;3;3
4;Tennessee Rubber;multi-byte;8005;HOUR;Florida Producer Unb;TX_27;4;4
5;budgetary management;interfaces;56284;MINUTE;mission-critical;TX_27;5;5
6;Regional secured lin;payment;16344;HOUR;Auto Loan Account pa;TX_27;6;6
7;Security Group array;Plaza toolset;58465;PIECE;Nepal transparent pa;TX_27;7;7
8;Pennsylvania solutio;wireless;20109;PIECE;Optimization harness;TX_27;8;8
9;Tasty Cross-group;Games;8905;PIECE;generating Idaho Lia;TX_27;9;9
10;Music B2B;drive;50254;HOUR;Advanced portals one;TX_27;10;10
