id;code;description;active_pupha_data
1;Djibouti payment Pro;Montana solid state;true
2;Analyst;TCP technologies interface;false
3;Sleek Refined Plasti;5th generation needs-based;false
4;Gorgeous copy;multi-state Avon;false
5;Trail revolutionary;value-added Rustic Rubber Bacon;true
6;Courts Graphical Use;Customer virtual;true
7;Personal Loan Accoun;synthesize Seamless orange;true
8;Shirt Cambridgeshire;Pike Metal;false
9;input microchip Metr;Program wireless Illinois;true
10;leverage Berkshire v;microchip;false
