id;atc_code;name_hu;name_en;active_substance;active_pupha_data
1;Incredib;grey;Factors 1080p Ball;TCP fresh-thinking;true
2;GB Home ;Tools Configurable software;Bedfordshire capacitor;Jamaica Checking Account;false
3;Product ;extensible red;payment;payment Borders;false
4;Croatian;Brand backing up;AGP South Dakota interactive;Walks deposit challenge;true
5;knowledg;Designer cross-platform;Regional;Configurable;false
6;Auto Loa;Oklahoma;Strategist;SMS copy;true
7;collabor;JBOD hack tangible;quantifying Principal;Quality Idaho Run;true
8;Maldives;Consultant Tasty Wooden Bike protocol;robust;quantifying Implementation;true
9;Money Ma;Pizza;indigo pixel Incredible;Regional Intelligent Cyprus;false
10;Open-arc;Credit Card Account;national ivory;ADP Open-source Burundi Franc;false
