id;external_id;subsidy_category;indication_code_1;indication_code_2;indication_type;prescr_comment;comment;active_pupha_data
1;61544;EU_EMPHASIZED;92580;Bedfordshire Metrics;G_MEDICINE;Jewelery payment Concrete;Auto Loan Account Ecuador;true
2;66622;EU100;66861;Maryland Analyst;G_MEDICINE;payment Tennessee Avon;Austria;false
3;87299;LOANABLE;93054;repurpose;S_GYSE;Investment Account Metrics online;Universal bypass hacking;true
4;29598;EU90;49607;Home Loan Account Berkshire;G_MEDICINE;pixel Configuration Metal;Product Steel;true
5;45110;EU90;49809;Tuna Buckinghamshire;S_GYSE;Kansas innovative;quantify;true
6;85854;NORMATIVE;17314;Locks;G_MEDICINE;Distributed Planner;Marketing Coordinator;true
7;26722;EU100;10512;convergence;S_GYSE;Home Loan Account Refined monitor;Fantastic Producer Decentralized;true
8;76886;EU_EMPHASIZED;25849;Human Guyana Dollar;S_GYSE;Corporate deliver optimize;Home Metal;true
9;46199;EU90;77932;online;S_GYSE;Ball parsing invoice;Response alarm Money Market Account;false
10;83044;EU70;16754;Bedfordshire microchip;G_MEDICINE;Kip Grenada;Officer Incredible Licensed Metal Computer;true
