id;external_id;county;code;name;gyfkod;unit_name;doctor_name;registration_no;institution_type;active_pupha_data
1;81512;Sausages;facilitate Freeway C;redefine National;protocol;American Samoa Computer Inlet;copy Associate Berkshire;RAM Pr;OUTPATIENT;false
2;57301;Missouri Buckinghamshire Shoes;Applications;transition disintermediate users;withdrawal wireless;Seamless aggregate sticky;stable Mouse demand-driven;redund;OUTPATIENT;true
3;2528;Argentina AGP CFA Franc BEAC;extensible Tasty Met;payment quantify Administrator;enable;bluetooth;Profound Dynamic;recipr;OUTPATIENT;false
4;71108;Regional;CSS Shoes;Refined Frozen Chicken Handcrafted;Money Market Account;Small Peso Uruguayo Uruguay Peso en Unidades Indexadas;New York;Baht h;OTHER;true
5;98722;client-driven copy;invoice Keyboard;Circle Tasty Frozen Keyboard;neural auxiliary bud;Refined EXE synergies;salmon;deposi;INPATIENT;false
6;83212;invoice;Open-source;Nepalese Rupee;Sausages online Stre;capacitor;software Strategist Computers;Automo;OUTPATIENT;true
7;43565;haptic;Beauty Investor Home;Chips;Steel;modular Locks;cyan Mozambique;Kuwait;INPATIENT;true
8;42029;Road;Intelligent Steel Ba;Tools Books open-source;Internal Slovenia;productize;Michigan deposit maroon;mobile;OTHER;true
9;38175;reintermediate scalable;mobile data-warehous;fresh-thinking intermediate zero administration;Metal;Orchestrator;Orchestrator Investment Account;Person;OTHER;true
10;65176;Health program;magenta connect;tan Sausages internet solution;Metal Response Mouse;Assurance Pennsylvania Mews;backing up real-time;Auto L;OUTPATIENT;true
