id;external_id;valid_from;load_date;file_version;modification_date;pupha_data_type;pupha_data_status;active_pupha_data
1;57318;2020-09-18T02:44:03;2020-09-18T04:40:31;6243;2020-09-17T14:05:25;BOTH;CLOSED;false
2;36761;2020-09-18T03:23:56;2020-09-17T11:51:42;77142;2020-09-17T13:02:18;MEDICAL_DEVICES;CLOSED;false
3;40090;2020-09-17T09:50:37;2020-09-17T19:39:11;90958;2020-09-17T19:07:34;MEDICINE;CLOSED;false
4;96255;2020-09-18T08:00:15;2020-09-18T07:25:28;35782;2020-09-18T04:55:47;MEDICAL_DEVICES;UNDER_FIXING;true
5;30884;2020-09-17T22:30:50;2020-09-18T07:59:56;88476;2020-09-18T07:00:00;BOTH;CLOSED;false
6;17957;2020-09-18T06:53:02;2020-09-17T08:23:41;22941;2020-09-18T00:53:01;MEDICAL_DEVICES;UNDER_FIXING;false
7;20176;2020-09-17T19:20:11;2020-09-17T13:37:55;86583;2020-09-18T04:42:32;BOTH;CLOSED;false
8;75674;2020-09-18T03:43:43;2020-09-18T05:28:06;61284;2020-09-17T20:02:37;BOTH;UNDER_FIXING;false
9;87610;2020-09-17T20:55:14;2020-09-17T11:43:47;11346;2020-09-17T19:00:23;MEDICINE;CLOSED;true
10;31458;2020-09-18T03:31:07;2020-09-17T20:40:25;91869;2020-09-18T02:04:00;MEDICINE;CLOSED;false
