id;time_limit;active_pupha_data;institution_category;prescription_right
1;84642;false;DESIGNATED_MEDICAL_UNIT;PRESCRIBE
2;61906;false;DIABETES_TREATMENT_UNIT;PROPOSE_AND_PRESCRIBE
3;72010;false;GP;PROPOSE_AND_PRESCRIBE
4;45384;false;GP;PRESCRIBE
5;6922;false;WITHOUT_LIMITATION;PROPOSE
6;65890;false;DIABETES_TREATMENT_UNIT;PRES_ON_PROPOSE
7;55526;false;CHILDREN_PSYCHO_OUTPAT_MED_UNIT;PRES_ON_PROPOSE
8;4280;false;DESIGNATED_MEDICAL_UNIT;PRESCRIBE
9;46732;false;MENOPAUSE_AND_OSTEOP_OUTPAT;PROPOSE_AND_PRESCRIBE
10;40084;true;INPATIENT_MEDICAL_UNIT;PROPOSE_AND_PRESCRIBE
