id;name;department_id;profession_code;profession_name;status;appointment_phone;treatment_logbook_number
1;Sports calculate;"YDDT4R";"HC";multi-byte robust calculate;DELETED;"+++++1";47550576
2;artificial intelligence;"N74";"69";paradigms connecting;ACTIVE;"+++++341950";37048507
3;FTP Assurance Credit Card Account;"FWFL3F";"KJA;Bulgaria Soft;PASSIVE;"+34554";3041776
4;Developer Credit Card Account Internal;"3S2V09";"R8Y;vertical;PASSIVE;"+++3029";95370572
5;North Carolina United Arab Emirates;"VAO834";"925;Manors;DELETED;"++484";73108290
6;Handmade Wooden Soap;"6";"8XV;parsing;PASSIVE;"++55";20881798
7;generating New Hampshire definition;"AE9F";"X";Massachusetts Lead Executive;DELETED;"+++0";23160874
8;virtual;"UY";"KN3;Pizza;PASSIVE;"++489";90063304
9;Manager Berkshire;"3XQA";"F8D;grey Dominican Peso experiences;DELETED;"++++++444";50139485
10;silver Wyoming Salad;"CAL";"LR";granular plum Industrial;DELETED;"+83544";62745871
