id;created;tpye;content;description
1;2020-09-18T00:41:29;DAILY_MEDICAL_CASE;Bedfordshire bleeding-edge Metal;Small Soft Car
2;2020-09-17T08:56:06;DAILY_MEDICAL_CASE;Automotive;Courts Forward
3;2020-09-17T09:05:56;DAILY_MEDICAL_CASE;Shoes bypass;Infrastructure Savings Account red
4;2020-09-17T19:42:52;DAILY_MEDICAL_CASE;navigate;middleware Architect Vision-oriented
5;2020-09-18T01:42:32;DAILY_MEDICAL_CASE;system Chicken;Steel maroon
6;2020-09-17T14:02:55;DAILY_MEDICAL_CASE;payment Sleek Cotton;Practical
7;2020-09-17T07:59:01;DAILY_MEDICAL_CASE;Mexican Peso Mexican Unidad de Inversion (UDI);reboot blue Monaco
8;2020-09-17T17:09:34;DAILY_MEDICAL_CASE;Digitized 1080p Cotton;matrix
9;2020-09-17T20:15:29;DAILY_MEDICAL_CASE;Croatia Steel;Guarani Chair
10;2020-09-17T18:02:58;DAILY_MEDICAL_CASE;dynamic;payment web-readiness
